City,DIVISION NUMBER,DIVISION NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL ACCREDITATION RATING,ENGLISH,ENGLISH STATUS,MATHEMATICS,MATHEMATICS STATUS,HISTORY,HISTORY STATUS,SCIENCE,SCIENCE STATUS,GCI,GCI Status
Accomac,1,Accomack County,701,Accawmacke Elementary,Fully Accredited,78,Meets Benchmark,82,Meets Benchmark,90,Meets Benchmark,84,Meets Benchmark,-,Does not have a Graduating Class
Oak Hall,1,Accomack County,540,Arcadia High,Fully Accredited,87,Meets Benchmark,80,Meets Benchmark,79,Meets Benchmark,80,Meets Benchmark,94,Meets Benchmark
Oak Hall,1,Accomack County,704,Arcadia Middle,Accredited with Warning,65,Warned,73,Meets Benchmark,78,Meets Benchmark,78,Meets Benchmark,-,Does not have a Graduating Class
Chincoteague,1,Accomack County,80,Chincoteague Elementary,Fully Accredited,87,Meets Benchmark,76,Meets Benchmark,83,Meets Benchmark,87,Meets Benchmark,-,Does not have a Graduating Class
Chincoteague,1,Accomack County,580,Chincoteague High,Fully Accredited,75,Meets Benchmark,86,Meets Benchmark,89,Meets Benchmark,80,Meets Benchmark,95,Meets Benchmark
,1,Accomack County,600,Kegotank Elementary,Fully Accredited,75,Meets Benchmark,82,Meets Benchmark,87,Meets Benchmark,79,Meets Benchmark,-,Does not have a Graduating Class
Parksley,1,Accomack County,702,Metompkin Elementary,Accredited with Warning,56,Warned,59,Warned,78,Meets Benchmark,70,Meets Benchmark,-,Does not have a Graduating Class
,1,Accomack County,70,Nandua High,Fully Accredited,92,Meets Benchmark,84,Meets Benchmark,80,Meets Benchmark,86,Meets Benchmark,91,Meets Benchmark
,1,Accomack County,703,Nandua Middle,Accredited with Warning,68,Warned,72,Meets Benchmark,81,Meets Benchmark,71,Meets Benchmark,-,Does not have a Graduating Class
,1,Accomack County,590,Pungoteague Elementary,Accredited with Warning,61,Warned,74,Meets Benchmark,78,Meets Benchmark,78,Meets Benchmark,-,Does not have a Graduating Class
,1,Accomack County,530,Tangier Combined,Fully Accredited,76,Meets Benchmark,78,Meets Benchmark,93,Meets Benchmark,81,Meets Benchmark,<,Meets Benchmark
,2,Albemarle County,160,Agnor-Hurt Elementary,Accredited with Warning,75,Meets Benchmark,64,Warned,73,Meets Benchmark,70,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,1060,Albemarle County Community Public Charter School,Fully Accredited,60,Warned,10,Warned,56,Warned,58,Warned,-,Does not have a Graduating Class
,2,Albemarle County,880,Albemarle High,Fully Accredited,91,Meets Benchmark,76,Meets Benchmark,87,Meets Benchmark,87,Meets Benchmark,96,Meets Benchmark
,2,Albemarle County,1053,Baker-Butler Elem,Fully Accredited,80,Meets Benchmark,75,Meets Benchmark,86,Meets Benchmark,76,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,900,Benjamin F. Yancey Elementary,Accredited with Warning,52,Warned,53,Warned,69,Warned,57,Warned,-,Does not have a Graduating Class
,2,Albemarle County,100,Broadus Wood Elementary,Fully Accredited,76,Meets Benchmark,70,Meets Benchmark,76,Meets Benchmark,84,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,941,Brownsville Elementary,Fully Accredited,84,Meets Benchmark,84,Meets Benchmark,91,Meets Benchmark,90,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,340,Crozet Elementary,Fully Accredited,76,Meets Benchmark,72,Meets Benchmark,77,Meets Benchmark,77,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,10,Hollymead Elementary,Fully Accredited,89,Meets Benchmark,90,Meets Benchmark,91,Meets Benchmark,89,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,950,Jack Jouett Middle,Fully Accredited,78,Meets Benchmark,79,Meets Benchmark,79,Meets Benchmark,79,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,69,Jackson P. Burley Middle,Fully Accredited,79,Meets Benchmark,85,Meets Benchmark,83,Meets Benchmark,79,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,942,Joseph T. Henley Middle,Fully Accredited,90,Meets Benchmark,93,Meets Benchmark,94,Meets Benchmark,90,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,20,Leslie H. Walton Middle,Accredited with Warning,61,Warned,70,Meets Benchmark,75,Meets Benchmark,73,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,40,Mary Carr Greer Elementary,Accredited with Warning,65,Warned,66,Warned,60,Warned,62,Warned,-,Does not have a Graduating Class
,2,Albemarle County,250,Meriwether Lewis Elementary,Fully Accredited,86,Meets Benchmark,79,Meets Benchmark,93,Meets Benchmark,95,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,1052,Monticello High,Fully Accredited,87,Meets Benchmark,82,Meets Benchmark,84,Meets Benchmark,88,Meets Benchmark,96,Meets Benchmark
,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,Fully Accredited,86,Meets Benchmark,78,Meets Benchmark,90,Meets Benchmark,89,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,890,Murray High,Fully Accredited,83,Meets Benchmark,91,Meets Benchmark,79,Meets Benchmark,88,Meets Benchmark,91,Meets Benchmark
,2,Albemarle County,150,Paul H. Cale Elementary,Fully Accredited,76,Meets Benchmark,70,Meets Benchmark,75,Meets Benchmark,74,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,540,Red Hill Elementary,Fully Accredited,75,Meets Benchmark,80,Meets Benchmark,83,Meets Benchmark,75,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,30,Scottsville Elementary,Fully Accredited,82,Meets Benchmark,80,Meets Benchmark,75,Meets Benchmark,74,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,920,Stone Robinson Elementary,Accredited with Warning,75,Meets Benchmark,60,Warned,73,Meets Benchmark,77,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,240,Stony Point Elementary,Fully Accredited,79,Meets Benchmark,70,Meets Benchmark,72,Meets Benchmark,70,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,910,Virginia L. Murray Elementary,Fully Accredited,93,Meets Benchmark,94,Meets Benchmark,97,Meets Benchmark,93,Meets Benchmark,-,Does not have a Graduating Class
,2,Albemarle County,140,Western Albemarle High,Fully Accredited,97,Meets Benchmark,83,Meets Benchmark,94,Meets Benchmark,91,Meets Benchmark,99,Meets Benchmark
,2,Albemarle County,930,Woodbrook Elementary,Fully Accredited,76,Meets Benchmark,74,Meets Benchmark,79,Meets Benchmark,73,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,120,Charles Barrett Elementary,Fully Accredited,81,Meets Benchmark,86,Meets Benchmark,91,Meets Benchmark,86,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,160,Cora Kelly Magnet Elementary,Fully Accredited,82,Meets Benchmark,83,Meets Benchmark,79,Meets Benchmark,75,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,110,Douglas Macarthur Elementary,Fully Accredited,75,Meets Benchmark,77,Meets Benchmark,89,Meets Benchmark,80,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,140,Francis C. Hammond Middle,Accredited with Warning,-,Not Tested,-,Not Tested,-,Not Tested,-,Not Tested,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,100,George Mason Elementary,Fully Accredited,86,Meets Benchmark,81,Meets Benchmark,97,Meets Benchmark,89,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,130,George Washington Middle,Fully Accredited,-,Not Tested,-,Not Tested,-,Not Tested,-,Not Tested,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,220,James K. Polk Elementary,Fully Accredited,78,Meets Benchmark,81,Meets Benchmark,87,Meets Benchmark,77,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,90,Jefferson-Houston Elementary,Accreditation Denied,47,Warned,46,Warned,51,Warned,36,Warned,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,230,John Adams Elementary,Fully Accredited,76,Meets Benchmark,76,Meets Benchmark,87,Meets Benchmark,70,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,80,Lyles-Crouch Elementary,Fully Accredited,89,Meets Benchmark,87,Meets Benchmark,94,Meets Benchmark,89,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,60,Maury Elementary,Fully Accredited,80,Meets Benchmark,85,Meets Benchmark,80,Meets Benchmark,83,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,30,Mount Vernon Elementary,Fully Accredited,75,Meets Benchmark,86,Meets Benchmark,85,Meets Benchmark,72,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,50,Patrick Henry Elementary,Accredited with Warning,72,Warned,74,Meets Benchmark,74,Meets Benchmark,67,Warned,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,333,Samuel W. Tucker Elementary,Fully Accredited,81,Meets Benchmark,78,Meets Benchmark,88,Meets Benchmark,70,Meets Benchmark,-,Does not have a Graduating Class
Alexandria,101,Alexandria City,210,T.C. Williams High,Accredited with Warning,85,Meets Benchmark,66,Warned,81,Meets Benchmark,74,Meets Benchmark,86,Meets Benchmark
Alexandria,101,Alexandria City,190,William Ramsay Elementary,Accredited with Warning,57,Warned,65,Warned,79,Meets Benchmark,47,Warned,-,Does not have a Graduating Class
,3,Alleghany County,310,Alleghany High,Accredited with Warning,88,Meets Benchmark,67,Warned,75,Meets Benchmark,79,Meets Benchmark,90,Meets Benchmark
,3,Alleghany County,110,Callaghan Elementary,Accredited with Warning,76,Meets Benchmark,54,Warned,92,Meets Benchmark,77,Meets Benchmark,-,Does not have a Graduating Class
,3,Alleghany County,1040,Clifton Middle,Accredited with Warning,67,Warned,73,Meets Benchmark,79,Meets Benchmark,76,Meets Benchmark,-,Does not have a Graduating Class
,3,Alleghany County,1041,Mountain View Elementary,Accredited with Warning,57,Warned,63,Warned,71,Meets Benchmark,54,Warned,-,Does not have a Graduating Class
,3,Alleghany County,90,Sharon Elementary,Fully Accredited,85,Meets Benchmark,86,Meets Benchmark,89,Meets Benchmark,85,Meets Benchmark,-,Does not have a Graduating Class
,4,Amelia County,220,Amelia County Elementary,Accredited with Warning,58,Warned,62,Warned,88,Meets Benchmark,80,Meets Benchmark,-,Does not have a Graduating Class
,4,Amelia County,10,Amelia County High,Fully Accredited,84,Meets Benchmark,75,Meets Benchmark,84,Meets Benchmark,81,Meets Benchmark,92,Meets Benchmark
,4,Amelia County,210,Amelia County Middle,Accredited with Warning,67,Warned,59,Warned,72,Meets Benchmark,75,Meets Benchmark,-,Does not have a Graduating Class
,5,Amherst County,780,Amelon Elementary,Accredited with Warning,65,Warned,67,Warned,77,Meets Benchmark,73,Meets Benchmark,-,Does not have a Graduating Class
,5,Amherst County,750,Amherst County High,Fully Accredited,85,Meets Benchmark,81,Meets Benchmark,75,Meets Benchmark,86,Meets Benchmark,92,Meets Benchmark
,5,Amherst County,790,Amherst Elementary,Fully Accredited,75,Meets Benchmark,78,Meets Benchmark,93,Meets Benchmark,88,Meets Benchmark,-,Does not have a Graduating Class
,5,Amherst County,670,Amherst Middle,Fully Accredited,76,Meets Benchmark,77,Meets Benchmark,86,Meets Benchmark,77,Meets Benchmark,-,Does not have a Graduating Class
,5,Amherst County,770,Central Elementary,Accredited with Warning,70,Warned,67,Warned,79,Meets Benchmark,76,Meets Benchmark,-,Does not have a Graduating Class
,5,Amherst County,760,Elon Elementary,Fully Accredited,75,Meets Benchmark,84,Meets Benchmark,85,Meets Benchmark,90,Meets Benchmark,-,Does not have a Graduating Class
,5,Amherst County,500,Madison Heights Elementary,Accredited with Warning,56,Warned,54,Warned,62,Warned,62,Warned,-,Does not have a Graduating Class
,5,Amherst County,20,Monelison Middle,Fully Accredited,77,Meets Benchmark,75,Meets Benchmark,77,Meets Benchmark,87,Meets Benchmark,-,Does not have a Graduating Class
,5,Amherst County,240,Pleasant View Elementary,Fully Accredited,75,Meets Benchmark,75,Meets Benchmark,79,Meets Benchmark,83,Meets Benchmark,-,Does not have a Graduating Class
,5,Amherst County,740,Temperance Elementary,Fully Accredited,92,Meets Benchmark,96,Meets Benchmark,95,Meets Benchmark,100,Meets Benchmark,-,Does not have a Graduating Class
,6,Appomattox County,260,Appomattox County High,Accredited with Warning,93,Meets Benchmark,67,Warned,87,Meets Benchmark,87,Meets Benchmark,95,Meets Benchmark
,6,Appomattox County,110,Appomattox Elementary,Fully Accredited,78,Meets Benchmark,81,Meets Benchmark,89,Meets Benchmark,84,Meets Benchmark,-,Does not have a Graduating Class
,6,Appomattox County,160,Appomattox Middle,Accredited with Warning,66,Warned,75,Meets Benchmark,86,Meets Benchmark,76,Meets Benchmark,-,Does not have a Graduating Class
,6,Appomattox County,250,Appomattox Primary,Fully Accredited,78,Meets Benchmark,81,Meets Benchmark,89,Meets Benchmark,84,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,350,Abingdon Elementary,Fully Accredited,77,Meets Benchmark,83,Meets Benchmark,90,Meets Benchmark,81,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,618,Arlington Mill High,Fully Accredited,88,Meets Benchmark,56,Warned,81,Meets Benchmark,83,Meets Benchmark,72,Warned
,7,Arlington County,613,Arlington Science Focus School,Fully Accredited,95,Meets Benchmark,96,Meets Benchmark,100,Meets Benchmark,98,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,470,Arlington Traditional,Fully Accredited,97,Meets Benchmark,96,Meets Benchmark,99,Meets Benchmark,97,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,490,Ashlawn Elementary,Fully Accredited,89,Meets Benchmark,94,Meets Benchmark,95,Meets Benchmark,90,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,150,Barcroft Elementary,Fully Accredited,80,Meets Benchmark,79,Meets Benchmark,87,Meets Benchmark,79,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,250,Barrett Elementary,Fully Accredited,84,Meets Benchmark,87,Meets Benchmark,92,Meets Benchmark,84,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,615,Campbell Elementary,Fully Accredited,80,Meets Benchmark,86,Meets Benchmark,89,Meets Benchmark,76,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,90,Carlin Springs Elementary,Fully Accredited,76,Meets Benchmark,88,Meets Benchmark,94,Meets Benchmark,70,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,622,Claremont Immersion,Fully Accredited,79,Meets Benchmark,80,Meets Benchmark,96,Meets Benchmark,71,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,200,Drew Model Elementary,Accredited with Warning,77,Meets Benchmark,80,Meets Benchmark,79,Meets Benchmark,63,Warned,-,Does not have a Graduating Class
,7,Arlington County,111,Francis Scott Key Elementary,Fully Accredited,78,Meets Benchmark,80,Meets Benchmark,86,Meets Benchmark,71,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,100,Glebe Elementary,Fully Accredited,84,Meets Benchmark,90,Meets Benchmark,96,Meets Benchmark,90,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,611,Gunston Middle,Fully Accredited,78,Meets Benchmark,81,Meets Benchmark,86,Meets Benchmark,82,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,160,Henry Elementary,Fully Accredited,91,Meets Benchmark,94,Meets Benchmark,95,Meets Benchmark,84,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,614,Hoffman-Boston Elementary,Fully Accredited,84,Meets Benchmark,90,Meets Benchmark,91,Meets Benchmark,87,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,440,Jamestown Elementary,Fully Accredited,93,Meets Benchmark,92,Meets Benchmark,97,Meets Benchmark,97,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,180,Jefferson Middle,Fully Accredited,81,Meets Benchmark,86,Meets Benchmark,87,Meets Benchmark,79,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,500,Kenmore Middle,Accredited with Warning,71,Warned,77,Meets Benchmark,76,Meets Benchmark,77,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,460,Long Branch Elementary,Fully Accredited,90,Meets Benchmark,91,Meets Benchmark,97,Meets Benchmark,91,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,380,McKinley Elementary,Fully Accredited,91,Meets Benchmark,92,Meets Benchmark,99,Meets Benchmark,93,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,410,Nottingham Elementary,Fully Accredited,92,Meets Benchmark,89,Meets Benchmark,96,Meets Benchmark,95,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,360,Oakridge Elementary,Fully Accredited,85,Meets Benchmark,89,Meets Benchmark,94,Meets Benchmark,86,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,510,Randolph Elementary,Fully Accredited,80,Meets Benchmark,87,Meets Benchmark,93,Meets Benchmark,76,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,240,Swanson Middle,Fully Accredited,89,Meets Benchmark,91,Meets Benchmark,95,Meets Benchmark,91,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,420,Taylor Elementary,Fully Accredited,89,Meets Benchmark,89,Meets Benchmark,94,Meets Benchmark,93,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,211,Tuckahoe Elementary,Fully Accredited,91,Meets Benchmark,91,Meets Benchmark,98,Meets Benchmark,95,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,450,Wakefield High,Fully Accredited,86,Meets Benchmark,79,Meets Benchmark,85,Meets Benchmark,84,Meets Benchmark,90,Meets Benchmark
,7,Arlington County,80,Washington-Lee High,Fully Accredited,89,Meets Benchmark,86,Meets Benchmark,90,Meets Benchmark,90,Meets Benchmark,95,Meets Benchmark
,7,Arlington County,480,Williamsburg Middle,Fully Accredited,92,Meets Benchmark,94,Meets Benchmark,94,Meets Benchmark,95,Meets Benchmark,-,Does not have a Graduating Class
,7,Arlington County,330,Yorktown High,Fully Accredited,95,Meets Benchmark,89,Meets Benchmark,95,Meets Benchmark,94,Meets Benchmark,96,Meets Benchmark
,8,Augusta County,210,Beverley Manor Elementary,Fully Accredited,75,Meets Benchmark,73,Meets Benchmark,81,Meets Benchmark,75,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,212,Beverley Manor Middle,Accredited with Warning,63,Warned,69,Warned,81,Meets Benchmark,70,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,660,Buffalo Gap High,Fully Accredited,86,Meets Benchmark,81,Meets Benchmark,90,Meets Benchmark,77,Meets Benchmark,96,Meets Benchmark
,8,Augusta County,30,Cassell Elementary,Accredited with Warning,77,Meets Benchmark,68,Warned,82,Meets Benchmark,74,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,140,Churchville Elementary,Accredited with Warning,62,Warned,77,Meets Benchmark,71,Meets Benchmark,72,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,370,Craigsville Elementary,Fully Accredited,80,Meets Benchmark,89,Meets Benchmark,91,Meets Benchmark,91,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,842,Edward G. Clymore Elementary,Accredited with Warning,69,Warned,79,Meets Benchmark,87,Meets Benchmark,76,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,670,Fort Defiance High,Fully Accredited,86,Meets Benchmark,84,Meets Benchmark,87,Meets Benchmark,89,Meets Benchmark,97,Meets Benchmark
,8,Augusta County,843,Guy K. Stump Elementary,Accredited with Warning,60,Warned,68,Warned,87,Meets Benchmark,75,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,40,North River Elementary,Accredited with Warning,55,Warned,73,Meets Benchmark,82,Meets Benchmark,72,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,740,Riverheads Elementary,Accredited with Warning,63,Warned,70,Meets Benchmark,80,Meets Benchmark,78,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,680,Riverheads High,Fully Accredited,91,Meets Benchmark,93,Meets Benchmark,94,Meets Benchmark,92,Meets Benchmark,92,Meets Benchmark
,8,Augusta County,90,S. Gordon Stewart Middle,Accredited with Warning,67,Warned,70,Meets Benchmark,81,Meets Benchmark,71,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,440,Stuarts Draft Elementary,Accredited with Warning,65,Warned,75,Meets Benchmark,85,Meets Benchmark,83,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,730,Stuarts Draft High,Fully Accredited,88,Meets Benchmark,82,Meets Benchmark,88,Meets Benchmark,86,Meets Benchmark,95,Meets Benchmark
,8,Augusta County,60,Stuarts Draft Middle,Fully Accredited,75,Meets Benchmark,83,Meets Benchmark,90,Meets Benchmark,85,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,710,Verona Elementary,Accredited with Warning,71,Warned,70,Meets Benchmark,86,Meets Benchmark,75,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,640,Wilson Elementary,Fully Accredited,75,Meets Benchmark,75,Meets Benchmark,82,Meets Benchmark,72,Meets Benchmark,-,Does not have a Graduating Class
,8,Augusta County,720,Wilson Memorial High,Fully Accredited,88,Meets Benchmark,75,Meets Benchmark,84,Meets Benchmark,88,Meets Benchmark,93,Meets Benchmark
,8,Augusta County,844,Wilson Middle,Accredited with Warning,77,Meets Benchmark,67,Warned,81,Meets Benchmark,75,Meets Benchmark,-,Does not have a Graduating Class
,9,Bath County,140,Bath County High,Fully Accredited,77,Meets Benchmark,89,Meets Benchmark,89,Meets Benchmark,81,Meets Benchmark,90,Meets Benchmark
,9,Bath County,120,Millboro Elementary,Fully Accredited,91,Meets Benchmark,89,Meets Benchmark,95,Meets Benchmark,90,Meets Benchmark,-,Does not have a Graduating Class
,9,Bath County,150,Valley Elementary,Accredited with Warning,69,Warned,70,Meets Benchmark,73,Meets Benchmark,82,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,480,Bedford Elementary,Accredited with Warning,55,Warned,64,Warned,79,Meets Benchmark,73,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,490,Bedford Middle,Accredited with Warning,68,Warned,78,Meets Benchmark,74,Meets Benchmark,75,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,1200,Bedford Primary,Accredited with Warning,55,Warned,64,Warned,79,Meets Benchmark,73,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,30,Big Island Elementary,Accredited with Warning,55,Warned,70,Meets Benchmark,56,Warned,28,Warned,-,Does not have a Graduating Class
,10,Bedford County,1160,Body Camp Elementary,Accredited with Warning,65,Warned,60,Warned,70,Meets Benchmark,71,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,160,Boonsboro Elementary,Accredited with Warning,63,Warned,66,Warned,73,Meets Benchmark,74,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,500,Forest Elementary,Fully Accredited,85,Meets Benchmark,81,Meets Benchmark,91,Meets Benchmark,86,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,1211,Forest Middle,Fully Accredited,83,Meets Benchmark,82,Meets Benchmark,90,Meets Benchmark,81,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,1214,Goodview Elementary,Fully Accredited,77,Meets Benchmark,79,Meets Benchmark,90,Meets Benchmark,81,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,980,Huddleston Elementary,Fully Accredited,79,Meets Benchmark,81,Meets Benchmark,94,Meets Benchmark,88,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,1212,Jefferson Forest High,Fully Accredited,96,Meets Benchmark,81,Meets Benchmark,91,Meets Benchmark,91,Meets Benchmark,96,Meets Benchmark
,10,Bedford County,1180,Liberty High,Accredited with Warning,90,Meets Benchmark,52,Warned,75,Meets Benchmark,71,Meets Benchmark,86,Meets Benchmark
,10,Bedford County,970,Moneta Elementary,Accredited with Warning,64,Warned,57,Warned,77,Meets Benchmark,79,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,180,Montvale Elementary,Accredited with Warning,66,Warned,63,Warned,71,Meets Benchmark,72,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,610,New London Academy Elementary,Accredited with Warning,80,Meets Benchmark,69,Warned,82,Meets Benchmark,90,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,1170,Otter River Elementary,Fully Accredited,84,Meets Benchmark,83,Meets Benchmark,90,Meets Benchmark,94,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,1190,Staunton River High,Accredited with Warning,82,Meets Benchmark,65,Warned,85,Meets Benchmark,71,Meets Benchmark,88,Meets Benchmark
,10,Bedford County,1191,Staunton River Middle,Accredited with Warning,64,Warned,68,Warned,66,Warned,72,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,640,Stewartsville Elementary,Accredited with Warning,72,Warned,70,Meets Benchmark,82,Meets Benchmark,79,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,450,Thaxton Elementary,Accredited with Warning,68,Warned,78,Meets Benchmark,76,Meets Benchmark,73,Meets Benchmark,-,Does not have a Graduating Class
,10,Bedford County,1213,Thomas Jefferson Elementary,Fully Accredited,76,Meets Benchmark,74,Meets Benchmark,89,Meets Benchmark,80,Meets Benchmark,-,Does not have a Graduating Class
,11,Bland County,250,Bland County Elementary,Conditionally Accredited,-,Not Tested,-,Not Tested,-,Not Tested,-,Not Tested,-,Does not have a Graduating Class
,11,Bland County,260,Bland County High,Conditionally Accredited,-,Not Tested,-,Not Tested,-,Not Tested,-,Not Tested,-,Does not have a Graduating Class
,12,Botetourt County,220,Breckinridge Elementary,Fully Accredited,77,Meets Benchmark,76,Meets Benchmark,93,Meets Benchmark,78,Meets Benchmark,-,Does not have a Graduating Class
,12,Botetourt County,20,Buchanan Elementary,Fully Accredited,82,Meets Benchmark,86,Meets Benchmark,93,Meets Benchmark,91,Meets Benchmark,-,Does not have a Graduating Class
,12,Botetourt County,420,Central Academy Middle,Fully Accredited,83,Meets Benchmark,89,Meets Benchmark,90,Meets Benchmark,79,Meets Benchmark,-,Does not have a Graduating Class
,12,Botetourt County,390,Cloverdale Elementary,Fully Accredited,88,Meets Benchmark,90,Meets Benchmark,100,Meets Benchmark,86,Meets Benchmark,-,Does not have a Graduating Class
,12,Botetourt County,400,Colonial Elementary,Fully Accredited,77,Meets Benchmark,81,Meets Benchmark,88,Meets Benchmark,82,Meets Benchmark,-,Does not have a Graduating Class
,12,Botetourt County,30,Eagle Rock Elementary,Accredited with Warning,67,Warned,71,Meets Benchmark,81,Meets Benchmark,76,Meets Benchmark,-,Does not have a Graduating Class
,12,Botetourt County,460,Greenfield Elementary,Fully Accredited,83,Meets Benchmark,83,Meets Benchmark,90,Meets Benchmark,84,Meets Benchmark,-,Does not have a Graduating Class
,12,Botetourt County,430,James River High,Fully Accredited,92,Meets Benchmark,77,Meets Benchmark,92,Meets Benchmark,84,Meets Benchmark,97,Meets Benchmark
,12,Botetourt County,440,Lord Botetourt High,Fully Accredited,90,Meets Benchmark,83,Meets Benchmark,92,Meets Benchmark,89,Meets Benchmark,93,Meets Benchmark
,12,Botetourt County,450,Read Mountain Middle,Fully Accredited,86,Meets Benchmark,91,Meets Benchmark,92,Meets Benchmark,88,Meets Benchmark,-,Does not have a Graduating Class
,12,Botetourt County,40,Troutville Elementary,Fully Accredited,78,Meets Benchmark,81,Meets Benchmark,82,Meets Benchmark,78,Meets Benchmark,-,Does not have a Graduating Class
